full_name,H,diameter,albedo,e,a,q,i,n
    66 Maja (A861 GA),9.53,71.82,0.016,0.1719,2.647,2.192,3.04,0.2289
    67 Asia (A861 HA),8.37,56.309,0.228,0.1862,2.421,1.97,6.03,0.2616
    68 Leto (A861 HB),6.9,122.509,0.228,0.1844,2.785,2.271,7.96,0.2121
    69 Hesperia (A861 HC),7.21,138.13,0.1402,0.1689,2.977,2.474,8.59,0.1919
    70 Panopaea (A861 JA),8.16,127.911,0.038,0.1831,2.614,2.135,11.6,0.2332
    71 Niobe (A861 PA),7.23,83.42,0.3052,0.1771,2.754,2.267,23.24,0.2156
    72 Feronia (A861 KA),9.08,74.966,0.083,0.1213,2.266,1.991,5.42,0.289
    73 Klytia (A862 GA),9.04,44.59,0.223,0.0426,2.665,2.551,2.37,0.2266
    74 Galatea (A862 QA),8.9,118.71,0.0431,0.2375,2.782,2.121,4.07,0.2125
    75 Eurydike (A862 SA),9.22,62.377,0.117,0.306,2.671,1.854,5.0,0.2257
    76 Freia (A862 UA),8.0,145.423,0.058,0.1677,3.408,2.837,2.12,0.1566
    77 Frigga (A862 VA),8.58,61.39,0.177,0.1334,2.668,2.312,2.42,0.2262
    78 Diana (A863 EA),8.39,120.6,0.0706,0.2035,2.623,2.089,8.68,0.2321
    79 Eurynome (A863 RA),7.78,63.479,0.287,0.1909,2.444,1.978,4.61,0.2579
    80 Sappho (A864 JA),8.06,68.563,0.206,0.2,2.297,1.838,8.67,0.2831
    81 Terpsichore (A864 SA),8.66,117.727,0.045,0.2116,2.852,2.248,7.8,0.2046
    82 Alkmene (A864 WA),8.26,57.621,0.167,0.2209,2.763,2.153,2.83,0.2146
    83 Beatrix (A865 HA),8.73,110.503,0.05,0.0832,2.431,2.229,4.97,0.26
    84 Klio (A865 QA),9.33,79.16,0.0527,0.2355,2.363,1.807,9.31,0.2713
    85 Io (A865 SA),7.93,154.79,0.0666,0.193,2.654,2.141,11.96,0.228
    86 Semele (A866 AA),8.71,109.929,0.056,0.218,3.103,2.427,4.82,0.1803
    87 Sylvia (A866 KA),6.93,253.051,0.046,0.0942,3.491,3.162,10.85,0.1511
    88 Thisbe (A866 LA),7.24,232.0,0.0671,0.1656,2.766,2.308,5.23,0.2142
    89 Julia (A866 PA),6.39,145.483,0.189,0.1837,2.551,2.082,16.12,0.242
    90 Antiope (A866 TA),8.42,115.974,0.058,0.1727,3.141,2.598,2.21,0.1771
    91 Aegina (A866 VA),9.12,103.402,0.048,0.1081,2.589,2.309,2.1,0.2365
    92 Undina (A867 NA),6.74,126.42,0.2509,0.1048,3.186,2.852,9.92,0.1733
    93 Minerva (A867 QA),7.88,154.155,0.056,0.143,2.753,2.36,8.54,0.2157
    94 Aurora (A867 RA),7.7,204.89,0.0395,0.0973,3.159,2.852,7.97,0.1755
    95 Arethusa (A867 WA),7.96,147.969,0.058,0.1524,3.065,2.597,13.01,0.1837
    96 Aegle (A868 DA),7.66,177.774,0.048,0.1425,3.048,2.614,15.98,0.1852
    97 Klotho (A868 DB),7.78,100.717,0.128,0.2574,2.669,1.982,11.77,0.2261
    98 Ianthe (A868 HA),8.94,132.788,0.029,0.1878,2.688,2.183,15.58,0.2237
    99 Dike (A868 KA),9.46,67.354,0.065,0.1978,2.663,2.136,13.86,0.2268
   100 Hekate (A868 NA),7.73,85.734,0.205,0.168,3.091,2.571,6.43,0.1814
   101 Helena (A868 PA),8.39,65.84,0.1898,0.1404,2.583,2.221,10.19,0.2374
   102 Miriam (A868 QA),9.43,82.595,0.051,0.252,2.664,1.992,5.17,0.2267
   103 Hera (A868 RA),7.74,83.908,0.217,0.0816,2.701,2.481,5.43,0.222
   104 Klymene (A868 RB),8.52,136.553,0.052,0.163,3.145,2.632,2.79,0.1767
   105 Artemis (A868 SA),8.75,94.864,0.032,0.1791,2.372,1.947,21.46,0.2698
   106 Dione (A868 TA),7.76,207.869,0.044,0.1587,3.182,2.677,4.57,0.1736
   107 Camilla (A868 WA),7.09,210.37,0.059,0.0673,3.497,3.262,10.01,0.1507
   108 Hecuba (A869 GB),7.97,75.498,0.148,0.0635,3.233,3.028,4.21,0.1695
   109 Felicitas (A869 TA),8.98,82.588,0.036,0.3004,2.693,1.884,7.85,0.2231
   110 Lydia (A870 HA),7.83,86.09,0.1808,0.0789,2.732,2.517,5.96,0.2182
   111 Ate (A870 PA),8.21,126.344,0.062,0.1036,2.593,2.324,4.93,0.2361
   112 Iphigenia (A870 SA),9.77,69.818,0.042,0.1278,2.433,2.123,2.6,0.2596
   113 Amalthea (A871 EA),8.53,50.137,0.224,0.0863,2.376,2.171,5.04,0.269
   114 Kassandra (A871 OA),8.45,94.178,0.089,0.1391,2.675,2.303,4.95,0.2252
   115 Thyra (A871 PA),7.75,79.83,0.2747,0.1923,2.38,1.922,11.59,0.2685
   116 Sirona (A871 RA),7.77,71.7,0.256,0.1381,2.769,2.386,3.56,0.2139
   117 Lomia (A871 RB),8.15,208.974,0.027,0.0228,2.992,2.924,14.92,0.1905
   118 Peitho (A872 EA),8.92,40.211,0.245,0.1633,2.438,2.04,7.75,0.259
   119 Althaea (A872 GA),8.33,57.3,0.2306,0.0817,2.581,2.37,5.79,0.2377
