full_name,H,diameter,albedo,e,a,q,i,n
 65738 (1993 RE9),16.85,1.302,0.239,0.1604,2.268,1.905,1.24,0.2885
 65739 (1993 SG13),14.5,4.455,0.117,0.1084,2.996,2.671,9.66,0.1901
 65744 (1993 TR23),14.69,3.795,0.177,0.0682,2.269,2.114,6.7,0.2883
 65745 (1993 TT31),16.4,1.357,0.241,0.2029,2.267,1.807,2.75,0.2888
 65746 (1993 TX34),14.98,6.58,0.045,0.1762,3.137,2.584,2.82,0.1774
 65749 (1993 TT38),16.11,1.591,0.402,0.1813,2.286,1.872,5.68,0.2851
 65750 (1993 UV2),15.93,1.216,0.395,0.0864,1.921,1.755,25.03,0.3701
 65753 (1994 CZ17),16.01,1.84,0.274,0.0931,2.522,2.288,11.96,0.246
 65754 (1994 CP18),15.59,2.46,0.186,0.0714,2.474,2.297,4.42,0.2533
 65755 (1994 EW3),15.7,1.794,0.417,0.1925,2.316,1.87,6.38,0.2796
 65762 (1994 RG),15.47,3.768,0.113,0.1983,2.673,2.143,2.65,0.2256
 65766 (1994 WG1),14.38,4.017,0.173,0.1734,2.783,2.301,10.1,0.2122
 65767 (1995 BZ11),16.16,1.454,0.277,0.1785,2.281,1.874,4.19,0.286
 65768 (1995 DR6),14.59,7.156,0.06,0.2074,3.142,2.49,1.9,0.177
 65769 Mahalia (1995 EN8),13.65,11.594,0.061,0.1902,2.974,2.408,19.39,0.1922
 65770 Leonardotestoni (1995 KF1),15.39,3.295,0.123,0.0566,2.7,2.547,11.83,0.2222
 65774 (1995 OW3),15.29,3.868,0.082,0.0534,2.875,2.721,0.52,0.2022
 65780 (1995 TM1),15.3,3.227,0.107,0.1585,2.565,2.159,17.98,0.2399
 65781 (1995 TT1),15.5,2.226,0.296,0.1124,2.223,1.973,6.13,0.2973
 65784 Naderayama (1995 UF4),15.59,1.771,0.385,0.2882,2.248,1.6,4.98,0.2924
 65791 (1995 UE45),13.91,7.92,0.135,0.1685,2.604,2.165,16.23,0.2346
 65794 (1995 WG27),15.27,5.326,0.036,0.2106,2.773,2.189,5.44,0.2134
 65796 (1995 XK1),14.52,4.372,0.193,0.1852,2.638,2.149,11.62,0.2301
 65797 (1995 YL),14.76,7.08,0.027,0.1889,2.794,2.266,7.2,0.2111
 65802 (1996 BA3),14.89,3.283,0.285,0.1635,2.753,2.303,10.25,0.2158
 65804 (1996 HT6),15.25,3.733,0.116,0.0376,3.055,2.941,10.23,0.1845
 65808 (1996 LO1),15.62,1.566,0.498,0.3246,2.326,1.571,20.73,0.2779
 65810 (1996 RL26),16.7,1.339,0.206,0.1383,2.319,1.998,5.36,0.2792
 65811 (1996 RW30),12.71,12.888,0.097,0.0158,5.166,5.084,4.82,0.08394
 65812 (1996 SG7),14.92,5.338,0.098,0.1438,3.165,2.71,2.41,0.1751
 65813 (1996 TT5),15.12,2.41,0.401,0.1906,2.311,1.871,18.15,0.2805
 65815 (1996 TB18),16.05,3.612,0.049,0.116,2.437,2.154,1.94,0.2591
 65821 De Curtis (1996 UC3),13.69,12.998,0.042,0.2378,3.985,3.037,4.31,0.1239
 65822 (1996 VO5),16.02,3.076,0.056,0.1846,2.378,1.939,2.68,0.2688
 65823 (1996 VO10),16.12,2.289,0.103,0.147,2.409,2.055,7.23,0.2637
 65824 (1996 VJ11),15.55,2.19,0.232,0.1651,2.355,1.966,6.15,0.2727
 65825 (1996 VF19),15.24,4.667,0.067,0.0654,3.178,2.97,8.33,0.174
 65826 (1996 VA28),14.55,6.376,0.076,0.091,3.196,2.905,14.17,0.1725
 65827 (1996 VG32),14.26,7.893,0.078,0.0579,3.199,3.014,10.95,0.1723
 65828 (1996 VZ37),14.74,7.873,0.034,0.1983,3.207,2.571,1.04,0.1716
 65829 (1996 WS2),15.85,1.647,0.542,0.2344,2.306,1.766,1.67,0.2814
 65832 (1996 XN5),15.15,2.475,0.263,0.174,2.374,1.961,3.13,0.2694
 65833 (1996 XE6),14.32,4.619,0.173,0.1141,2.534,2.245,12.92,0.2444
 65834 (1996 XK7),15.22,2.627,0.256,0.1874,2.317,1.883,2.43,0.2794
 65837 (1996 XX20),15.93,4.856,0.033,0.2437,2.381,1.801,5.85,0.2682
 65838 (1996 XD26),15.15,2.642,0.366,0.0941,2.548,2.309,5.66,0.2423
 65842 (1997 AF14),14.89,4.656,0.134,0.182,2.58,2.11,10.97,0.2379
 65843 (1997 AR15),15.33,5.159,0.063,0.2346,2.78,2.128,6.66,0.2126
 65846 (1997 BT2),14.8,4.627,0.119,0.1489,2.579,2.195,12.37,0.238
 65850 (1997 CG28),15.38,4.761,0.065,0.2288,2.63,2.028,3.2,0.2311
 65851 (1997 EM2),15.2,2.778,0.275,0.0209,2.666,2.61,10.75,0.2264
 65853 (1997 EV38),15.23,5.507,0.053,0.1399,2.779,2.39,3.03,0.2127
 65854 (1997 EH46),14.5,7.438,0.073,0.3203,2.6,1.767,12.58,0.2351
 65855 (1997 GQ5),14.68,7.286,0.036,0.1766,3.021,2.487,10.81,0.1877
 65859 Madler (1997 GF42),13.46,14.225,0.046,0.1541,3.969,3.357,5.46,0.1247
 65863 (1997 KW1),15.18,4.319,0.086,0.0653,2.966,2.773,13.45,0.1929
 65864 Claudepieplu (1997 OT),14.43,7.687,0.068,0.1068,3.172,2.834,7.52,0.1744
 65865 (1997 OQ1),15.88,3.676,0.075,0.121,2.381,2.093,13.35,0.2682
 65866 Wynneozrics (1997 PA4),12.89,17.043,0.051,0.2534,3.172,2.369,24.37,0.1744
 65869 (1997 SP17),14.84,3.109,0.241,0.3045,2.632,1.831,7.1,0.2308
 65871 (1997 UC22),12.47,18.605,0.047,0.1427,3.218,2.759,17.65,0.1707
 65874 (1997 WL13),14.68,7.17,0.065,0.2064,2.776,2.203,7.06,0.2131
 65878 (1997 XD10),15.32,2.033,0.468,0.0662,2.309,2.156,6.92,0.2809
 65880 (1997 YD5),16.02,3.929,0.079,0.1178,2.246,1.981,3.98,0.2928
 65881 (1997 YO5),15.95,2.623,0.135,0.1072,2.283,2.038,6.14,0.2858
 65882 (1997 YR8),14.16,5.746,0.147,0.0712,3.067,2.849,9.15,0.1835
 65883 (1997 YX13),15.19,2.786,0.208,0.0768,2.549,2.353,22.52,0.2422
 65884 (1997 YP15),16.2,3.319,0.048,0.1354,2.373,2.052,1.9,0.2695
 65887 (1998 AW6),14.85,6.511,0.054,0.1153,2.427,2.147,3.15,0.2606
 65888 (1998 BS3),16.1,3.912,0.046,0.0577,2.797,2.635,1.11,0.2107
 65889 (1998 BB4),15.09,5.066,0.075,0.1736,2.362,1.952,5.49,0.2715
 65891 (1998 BQ24),15.14,2.883,0.28,0.1302,2.31,2.009,3.31,0.2808
 65892 (1998 BH30),15.29,5.273,0.07,0.1267,2.612,2.282,2.99,0.2334
 65894 Echizenmisaki (1998 BO48),14.99,2.954,0.154,0.1241,2.258,1.978,1.35,0.2904
 65897 (1998 DQ7),14.63,3.269,0.303,0.1826,2.322,1.898,5.57,0.2786
 65899 (1998 DG12),15.98,1.615,0.224,0.2064,2.385,1.893,7.55,0.2675
 65905 (1998 EH2),15.2,2.613,0.311,0.0268,2.526,2.458,5.4,0.2455
 65907 (1998 EX11),15.38,4.817,0.04,0.147,2.357,2.01,7.51,0.2724
 65910 (1998 FR21),15.35,6.712,0.039,0.1856,3.142,2.559,3.91,0.177
 65912 (1998 FQ26),15.3,5.285,0.048,0.1045,2.436,2.181,2.62,0.2593
 65913 (1998 FD28),15.45,2.118,0.188,0.1193,2.474,2.179,1.36,0.2533
 65915 (1998 FO34),14.46,5.615,0.117,0.0879,2.34,2.134,12.87,0.2754
 65918 (1998 FZ38),15.83,4.222,0.043,0.0606,2.441,2.293,4.73,0.2585
 65924 (1998 FE53),15.3,2.219,0.248,0.0543,2.538,2.4,3.29,0.2438
 65925 (1998 FE54),15.37,2.418,0.331,0.0933,2.363,2.143,9.09,0.2713
 65928 (1998 FW55),15.16,4.955,0.066,0.2542,2.749,2.05,13.51,0.2163
 65930 (1998 FS57),15.15,3.153,0.057,0.3201,2.582,1.755,8.53,0.2376
 65934 (1998 FE65),14.65,2.614,0.41,0.0894,2.31,2.103,4.37,0.2807
 65935 (1998 FF65),15.51,5.589,0.046,0.1088,2.571,2.292,8.47,0.239
 65937 Herveconstans (1998 FZ72),15.79,3.102,0.088,0.0852,2.62,2.397,8.49,0.2324
 65938 (1998 FV77),14.89,4.069,0.141,0.182,2.633,2.154,13.85,0.2307
 65939 (1998 FK79),15.12,5.395,0.073,0.1205,2.631,2.314,12.14,0.231
 65942 (1998 FL90),15.08,2.48,0.345,0.2092,2.323,1.837,8.73,0.2783
 65943 (1998 FR98),15.27,6.184,0.046,0.2444,2.899,2.19,6.76,0.1997
 65944 (1998 FZ99),14.22,3.944,0.216,0.068,2.372,2.211,7.83,0.2698
 65946 (1998 FT103),14.97,4.168,0.102,0.2443,2.604,1.968,4.24,0.2346
 65949 (1998 FJ107),14.87,2.78,0.397,0.0808,2.395,2.202,7.77,0.2658
 65951 (1998 FU119),14.84,3.467,0.147,0.1288,2.628,2.29,13.51,0.2314
 65956 (1998 FA146),15.07,2.441,0.325,0.2709,2.6,1.895,12.77,0.2351
 65957 (1998 FO147),15.59,3.222,0.155,0.0856,2.294,2.098,6.27,0.2836
 65958 (1998 GG1),15.27,5.129,0.067,0.1425,2.762,2.368,7.83,0.2148
 65960 (1998 GX8),15.02,3.062,0.272,0.1915,2.651,2.144,12.26,0.2283
 65961 (1998 HC1),15.3,5.128,0.074,0.1159,2.649,2.342,11.87,0.2287
 65962 (1998 HU1),15.77,4.531,0.06,0.1872,2.393,1.945,3.91,0.2663
 65965 (1998 HR7),14.03,6.67,0.144,0.3375,2.75,1.822,29.91,0.2161
 65967 (1998 HM10),15.28,3.421,0.126,0.0274,2.982,2.901,4.76,0.1914
 65971 (1998 HY26),15.25,5.463,0.059,0.0964,3.036,2.743,6.3,0.1863
 65972 (1998 HJ28),15.19,6.275,0.037,0.2282,2.384,1.84,4.03,0.2678
 65973 (1998 HZ38),15.01,3.35,0.249,0.0972,2.59,2.338,13.4,0.2365
 65975 (1998 HV46),15.46,2.944,0.186,0.1194,2.637,2.322,10.58,0.2301
 65976 (1998 HF51),14.63,4.035,0.207,0.0403,2.358,2.263,3.83,0.2722
 65977 (1998 HZ69),15.06,3.837,0.158,0.0896,2.613,2.379,11.59,0.2334
 65980 (1998 HB107),14.8,4.314,0.125,0.0768,3.027,2.795,11.65,0.1871
 65981 (1998 HD119),15.25,3.0,0.259,0.1811,2.641,2.162,13.83,0.2297
 65986 (1998 HA147),15.24,4.976,0.078,0.1398,2.639,2.27,11.9,0.2299
 65987 (1998 HD152),15.44,2.248,0.35,0.0903,2.569,2.337,4.32,0.2394
 65988 (1998 KQ1),15.45,5.136,0.061,0.205,2.7,2.147,10.23,0.2221
 65990 (1998 KR14),15.43,6.032,0.044,0.194,2.727,2.198,3.45,0.2189
 65991 (1998 KL36),14.89,6.437,0.062,0.1762,2.805,2.31,7.2,0.2099
 65993 (1998 KP52),14.74,4.732,0.137,0.1395,2.647,2.277,10.96,0.2289
 65995 (1998 KZ57),15.2,3.235,0.154,0.1202,2.606,2.293,2.11,0.2343
 65998 (1998 MX40),14.93,6.474,0.067,0.2323,2.769,2.126,8.77,0.2139
 66000 Duilialoncao (1998 OE1),14.87,6.148,0.056,0.2182,3.011,2.354,15.39,0.1886
 66001 (1998 OG1),14.09,3.773,0.259,0.1116,2.666,2.368,11.81,0.2265
 66003 (1998 OX6),13.21,7.622,0.21,0.0681,2.859,2.665,11.81,0.2039
 66004 (1998 OV9),15.06,5.722,0.049,0.153,3.186,2.699,5.79,0.1733
 66005 (1998 OA12),14.15,5.405,0.167,0.2357,2.763,2.112,13.84,0.2146
 66007 (1998 PO),13.5,10.884,0.078,0.0685,2.747,2.559,4.39,0.2165
 66008 (1998 QH2),15.93,1.484,0.319,0.3628,1.426,0.909,61.01,0.5787
 66009 (1998 QZ8),14.1,4.956,0.165,0.0382,2.681,2.579,9.06,0.2245
 66011 (1998 QR17),13.72,9.841,0.053,0.0392,2.75,2.642,4.14,0.2161
 66012 (1998 QM23),14.68,4.26,0.117,0.1433,2.748,2.354,11.78,0.2163
 66013 (1998 QC24),13.63,12.456,0.048,0.0657,2.943,2.749,10.98,0.1953
 66014 (1998 QW24),14.68,4.387,0.192,0.1285,2.963,2.582,8.59,0.1932
 66016 (1998 QX27),14.26,10.784,0.037,0.1421,3.051,2.618,7.96,0.1849
 66017 (1998 QC30),14.6,5.207,0.124,0.0616,2.983,2.799,8.33,0.1913
 66019 (1998 QE31),14.45,3.588,0.238,0.1291,2.941,2.561,8.22,0.1954
 66021 (1998 QZ34),15.17,6.289,0.049,0.1804,2.906,2.382,12.47,0.1989
 66022 (1998 QU42),13.56,7.28,0.175,0.0837,3.003,2.752,9.72,0.1894
 66024 (1998 QZ45),14.1,4.13,0.313,0.1185,2.794,2.463,7.48,0.211
 66025 (1998 QP46),14.63,5.97,0.094,0.1487,2.969,2.527,8.77,0.1927
 66026 (1998 QK48),14.17,5.01,0.233,0.0842,2.966,2.716,9.05,0.1929
 66027 (1998 QH49),14.4,5.28,0.145,0.1634,2.979,2.492,13.77,0.1917
 66028 (1998 QU51),14.89,6.034,0.064,0.1658,3.07,2.561,4.1,0.1832
 66029 (1998 QC61),14.3,5.676,0.138,0.1646,3.168,2.647,15.2,0.1748
 66030 (1998 QY64),14.29,8.18,0.041,0.2753,2.77,2.008,11.09,0.2137
 66031 (1998 QE68),14.89,6.529,0.055,0.172,2.687,2.224,10.63,0.2238
 66032 (1998 QK68),14.34,10.046,0.037,0.1292,3.061,2.665,13.91,0.1841
 66033 (1998 QV69),14.54,8.013,0.063,0.1504,3.049,2.59,7.79,0.1851
 66034 (1998 QY69),14.47,4.031,0.36,0.1349,2.74,2.37,8.56,0.2173
 66036 (1998 QZ73),13.53,5.749,0.226,0.2727,3.063,2.228,9.33,0.1838
 66037 (1998 QD74),14.53,4.684,0.14,0.0608,2.981,2.8,8.15,0.1915
 66039 (1998 QS74),13.97,10.262,0.056,0.0879,2.869,2.617,16.25,0.2028
 66042 (1998 QA78),14.98,5.698,0.072,0.2158,3.052,2.393,11.5,0.1848
 66043 (1998 QH79),15.46,4.427,0.052,0.2973,2.557,1.797,10.9,0.241
 66046 (1998 QJ85),14.18,7.827,0.087,0.0392,2.922,2.807,15.5,0.1973
 66047 (1998 QL85),14.32,7.397,0.041,0.2239,3.123,2.424,15.82,0.1786
 66048 (1998 QU85),12.98,6.991,0.301,0.0822,3.042,2.792,15.64,0.1857
 66049 (1998 QB86),14.52,8.55,0.049,0.1862,3.061,2.491,15.41,0.1841
 66050 (1998 QB87),13.38,12.717,0.063,0.1158,3.186,2.817,15.78,0.1733
 66051 (1998 QC87),14.9,4.254,0.155,0.1158,2.969,2.625,9.21,0.1926
 66052 (1998 QM87),14.88,6.753,0.051,0.1783,3.066,2.519,16.23,0.1836
 66053 (1998 QN87),14.48,4.907,0.168,0.1551,2.967,2.506,11.32,0.1929
 66054 (1998 QY88),14.48,5.449,0.136,0.0403,2.984,2.864,9.07,0.1912
 66055 (1998 QQ90),13.67,9.24,0.082,0.1823,3.105,2.539,21.01,0.1802
 66056 (1998 QM95),14.99,5.57,0.09,0.1495,2.983,2.537,9.33,0.1913
 66057 (1998 QP96),14.36,5.426,0.125,0.1005,2.972,2.673,9.66,0.1924
 66058 (1998 QQ97),14.78,4.535,0.149,0.1149,3.006,2.661,10.87,0.1891
 66059 (1998 QZ100),14.96,6.15,0.062,0.2668,3.077,2.256,2.63,0.1826
 66062 (1998 RG1),13.57,12.115,0.072,0.1951,3.169,2.551,10.2,0.1747
 66066 (1998 RO18),14.85,3.933,0.137,0.1678,3.01,2.505,13.73,0.1887
 66067 (1998 RM19),15.09,5.413,0.046,0.15,2.751,2.338,6.13,0.216
 66068 (1998 RG26),13.77,4.958,0.261,0.0799,2.737,2.518,12.47,0.2177
 66070 (1998 RP46),15.51,2.159,0.218,0.245,2.329,1.759,3.33,0.2772
 66071 (1998 RS48),14.56,6.537,0.086,0.2171,2.962,2.318,1.86,0.1934
 66073 (1998 RJ50),14.31,7.695,0.065,0.2073,3.062,2.427,1.84,0.184
 66076 (1998 RD53),13.46,7.827,0.095,0.0553,2.993,2.827,9.8,0.1904
 66077 (1998 RL53),14.13,4.96,0.137,0.0817,3.067,2.816,9.62,0.1835
 66081 (1998 RY56),14.68,7.092,0.029,0.253,3.058,2.284,2.1,0.1844
 66082 (1998 RZ58),14.69,7.718,0.052,0.0728,3.076,2.852,1.38,0.1827
 66083 (1998 RW61),14.55,4.303,0.182,0.0636,3.043,2.85,1.27,0.1857
 66087 (1998 RW69),15.05,5.382,0.061,0.2533,3.083,2.302,2.73,0.182
 66088 (1998 RE71),14.51,4.722,0.095,0.1737,3.051,2.521,5.65,0.1849
 66089 (1998 RQ73),14.58,6.942,0.077,0.1508,3.007,2.554,3.19,0.189
 66090 (1998 RQ75),14.61,4.717,0.138,0.0789,3.081,2.838,10.87,0.1823
 66091 (1998 RM76),14.1,5.9,0.153,0.0575,3.068,2.891,11.16,0.1834
 66092 (1998 SD),14.64,1.991,0.93,0.0179,1.936,1.901,19.37,0.366
 66095 (1998 SP6),14.89,4.739,0.114,0.1085,2.998,2.672,8.8,0.1899
 66098 (1998 SV12),14.1,10.968,0.046,0.2041,3.105,2.471,27.4,0.1801
 66099 (1998 SQ13),14.58,7.384,0.062,0.1972,3.107,2.495,0.78,0.1799
 66103 (1998 SJ24),13.85,5.652,0.105,0.0652,2.874,2.687,3.76,0.2023
 66105 (1998 SW25),14.92,6.458,0.056,0.2116,3.045,2.4,5.53,0.1855
 66106 (1998 SJ26),13.68,9.624,0.05,0.1968,3.127,2.512,14.83,0.1782
 66110 (1998 SQ37),14.79,4.988,0.113,0.1176,2.976,2.626,2.26,0.192
 66116 (1998 SU68),13.7,13.314,0.032,0.1714,3.159,2.617,22.02,0.1756
 66118 (1998 SL71),14.87,6.189,0.067,0.1523,3.015,2.556,2.36,0.1882
 66121 (1998 SF81),14.63,3.879,0.245,0.0579,2.98,2.807,9.74,0.1916
 66126 (1998 SX112),14.4,4.553,0.102,0.195,2.622,2.111,14.2,0.2321
 66131 (1998 SA123),15.26,5.804,0.048,0.1787,3.098,2.544,0.45,0.1807
 66132 (1998 SP126),14.35,4.95,0.181,0.0929,3.069,2.784,10.04,0.1833
 66133 (1998 SR127),13.93,6.712,0.142,0.0767,3.088,2.851,10.95,0.1816
 66134 (1998 SV127),15.05,5.084,0.09,0.16,3.07,2.579,5.74,0.1832
 66135 (1998 SX131),14.58,4.667,0.169,0.1549,3.1,2.62,6.69,0.1806
 66139 (1998 SH138),15.4,5.2,0.054,0.2334,3.089,2.368,0.68,0.1816
 66140 (1998 SQ139),13.61,7.059,0.186,0.0803,3.074,2.827,8.4,0.1829
 66143 (1998 SE161),13.93,6.143,0.155,0.1022,3.059,2.746,10.2,0.1842
 66144 Celinereyle (1998 SJ171),15.86,1.617,0.295,0.2369,2.532,1.932,2.95,0.2447
 66145 (1998 TM),14.43,4.595,0.21,0.1242,3.108,2.722,9.05,0.1799
 66146 (1998 TU3),14.36,2.864,0.224,0.4837,0.7876,0.407,5.42,1.41
 66151 Josefhanus (1998 UL),13.97,6.183,0.168,0.0635,2.97,2.781,9.33,0.1926
 66152 (1998 UU),15.73,1.46,0.689,0.0759,1.911,1.766,19.48,0.3731
 66153 (1998 UV),15.53,1.295,0.96,0.0966,1.956,1.767,17.48,0.3603
 66156 (1998 UV25),14.68,3.44,0.149,0.1242,2.737,2.397,10.45,0.2176
 66160 (1998 UC38),14.24,3.833,0.275,0.1011,2.746,2.468,9.8,0.2166
 66161 (1998 UG40),14.46,7.067,0.081,0.1603,3.128,2.627,3.93,0.1782
 66164 (1998 VC8),14.1,5.652,0.152,0.1305,2.986,2.596,10.76,0.191
 66166 (1998 VL25),16.13,1.596,0.191,0.1926,2.338,1.888,1.08,0.2756
 66167 (1998 VG28),13.61,11.416,0.051,0.1907,3.153,2.552,13.17,0.176
 66169 (1998 VO29),14.8,6.895,0.059,0.2785,2.986,2.154,2.06,0.191
 66170 (1998 VJ30),13.8,15.227,0.033,0.1468,3.166,2.701,12.21,0.175
 66175 (1998 WD4),15.7,2.444,0.205,0.2168,2.37,1.856,2.7,0.2702
 66177 (1998 WE5),14.47,7.11,0.08,0.1361,3.167,2.736,14.24,0.1749
 66178 (1998 WL13),13.88,14.271,0.029,0.126,3.189,2.787,12.11,0.1731
 66181 (1998 WL17),16.32,3.221,0.068,0.1385,2.381,2.052,3.21,0.2682
 66183 (1998 WJ33),14.02,7.812,0.096,0.2574,3.128,2.323,14.15,0.1781
 66184 (1998 XW2),15.62,2.165,0.286,0.1932,2.31,1.864,4.26,0.2806
 66185 (1998 XM47),13.28,12.297,0.066,0.1736,3.126,2.583,12.9,0.1784
 66186 (1998 XS49),14.34,3.984,0.255,0.1818,2.572,2.104,12.59,0.2389
 66187 (1998 XS73),12.16,21.658,0.065,0.1629,3.993,3.342,7.67,0.1235
 66188 (1998 XK79),13.76,10.455,0.062,0.1863,3.195,2.599,19.43,0.1726
 66189 (1998 XA97),15.99,1.719,0.344,0.1207,2.313,2.034,7.0,0.2802
 66191 (1998 YS6),13.91,10.522,0.058,0.1609,3.109,2.609,0.15,0.1798
 66192 (1998 YW10),15.54,1.815,0.308,0.0758,2.162,1.998,3.21,0.31
 66193 (1999 AF22),14.95,2.733,0.342,0.1675,2.632,2.191,4.83,0.2308
 66194 (1999 AT23),14.82,2.998,0.311,0.2696,2.305,1.683,23.68,0.2816
 66195 (1999 AN25),15.24,1.705,0.383,0.1074,1.941,1.733,18.71,0.3644
 66196 (1999 AE34),15.9,2.191,0.122,0.1413,2.212,1.899,4.32,0.2997
 66197 Isabosc (1999 BO6),15.93,4.001,0.062,0.1164,2.236,1.976,3.69,0.2948
 66199 (1999 BF13),14.99,2.763,0.334,0.1556,2.183,1.844,3.26,0.3055
 66200 (1999 BT13),16.35,3.741,0.042,0.1246,2.16,1.891,4.25,0.3104
 66202 (1999 BJ21),13.85,5.68,0.317,0.116,2.599,2.298,14.33,0.2352
 66203 (1999 BV24),14.14,5.689,0.15,0.143,3.028,2.595,10.01,0.1871
 66205 (1999 BJ27),15.22,4.963,0.065,0.2433,2.768,2.095,3.11,0.214
 66207 Carpi (1999 CB1),14.74,5.831,0.082,0.0304,2.983,2.892,6.84,0.1913
 66209 (1999 CC14),14.77,2.812,0.323,0.2949,2.577,1.817,4.11,0.2383
 66211 (1999 CA22),13.44,7.671,0.144,0.2197,3.215,2.509,13.67,0.171
 66212 (1999 CS32),15.57,2.871,0.148,0.1518,2.244,1.904,6.28,0.2931
 66214 (1999 CO36),15.16,5.944,0.06,0.1236,2.667,2.337,12.54,0.2263
 66215 (1999 CP38),14.69,7.252,0.04,0.1438,3.089,2.645,1.52,0.1816
 66218 (1999 CU43),13.88,6.948,0.104,0.0798,3.002,2.763,10.79,0.1895
 66220 (1999 CZ68),15.86,1.636,0.263,0.0933,2.3,2.085,6.4,0.2826
 66221 (1999 CH73),15.19,3.347,0.173,0.0395,2.229,2.141,4.51,0.2961
 66222 (1999 CV75),14.15,6.882,0.135,0.0991,3.056,2.754,8.35,0.1845
 66223 (1999 CE77),13.86,4.272,0.385,0.1339,2.556,2.214,14.54,0.2412
 66225 (1999 CL79),15.96,2.472,0.176,0.14,2.276,1.958,8.3,0.287
 66227 (1999 CR109),13.27,11.264,0.088,0.2171,3.976,3.113,7.01,0.1243
 66229 (1999 CH117),15.42,3.171,0.133,0.0688,2.185,2.035,5.66,0.3051
 66230 (1999 CV117),14.06,5.662,0.105,0.1881,3.068,2.491,10.69,0.1834
 66231 (1999 CD125),15.29,3.702,0.155,0.146,2.635,2.25,15.95,0.2305
 66233 (1999 CC156),15.74,2.038,0.223,0.2077,2.245,1.778,5.25,0.2931
 66237 (1999 ET5),15.18,5.23,0.078,0.0789,2.757,2.54,4.95,0.2153
 66238 (1999 FZ),16.27,3.214,0.063,0.1618,2.293,1.922,2.36,0.2839
 66239 (1999 FK2),14.59,6.156,0.097,0.0484,2.948,2.805,11.6,0.1947
 66247 (1999 FN34),15.76,2.643,0.121,0.1526,2.278,1.93,6.43,0.2868
 66251 (1999 GJ2),17.0,1.222,0.187,0.1981,1.536,1.231,11.28,0.5179
 66252 (1999 GM2),14.72,3.223,0.295,0.1991,2.394,1.917,4.51,0.2661
 66254 (1999 GZ19),15.21,3.017,0.213,0.1669,2.283,1.902,4.45,0.2858
 66256 (1999 GU33),15.7,2.448,0.141,0.1927,2.272,1.834,7.64,0.2879
 66257 (1999 GA34),14.71,3.202,0.299,0.1697,2.278,1.892,6.54,0.2866
 66258 (1999 GQ34),15.45,5.413,0.026,0.2188,2.385,1.863,4.26,0.2676
 66259 (1999 GP35),15.71,5.148,0.041,0.1537,2.404,2.035,1.9,0.2644
 66260 (1999 GZ35),15.22,2.243,0.385,0.0917,2.213,2.01,3.61,0.2994
 66262 (1999 GY49),15.8,4.362,0.044,0.1294,2.412,2.1,2.25,0.263
 66264 (1999 HR),15.73,1.491,0.288,0.1762,2.286,1.883,6.45,0.2852
 66266 (1999 HQ9),15.54,1.994,0.28,0.1112,2.295,2.04,5.55,0.2835
 66268 (1999 JJ3),14.34,3.022,0.486,0.1381,2.301,1.983,7.45,0.2823
 66269 (1999 JN3),14.4,3.7,0.283,0.2853,2.305,1.648,20.59,0.2816
 66270 (1999 JK4),14.58,2.619,0.384,0.255,2.303,1.716,22.61,0.282
 66271 (1999 JM6),15.4,2.327,0.13,0.1739,2.348,1.94,11.97,0.2739
 66272 (1999 JW6),17.22,0.808,0.4,0.1434,1.507,1.291,51.31,0.5325
 66273 (1999 JU7),16.2,1.381,0.369,0.2359,2.331,1.781,1.1,0.277
 66275 (1999 JX8),16.3,1.303,0.261,0.2352,2.3,1.759,1.59,0.2826
 66276 (1999 JG9),16.08,3.396,0.046,0.1851,2.356,1.92,7.58,0.2725
 66277 (1999 JY10),15.35,2.149,0.22,0.2957,2.397,1.688,24.85,0.2655
 66278 (1999 JC11),15.7,1.878,0.24,0.2042,2.402,1.911,3.15,0.2648
 66282 (1999 JA13),15.58,2.467,0.167,0.2088,2.35,1.859,3.0,0.2737
 66283 (1999 JU13),14.64,5.171,0.11,0.248,2.324,1.748,10.15,0.2781
 66284 (1999 JU15),13.87,4.754,0.259,0.1878,2.265,1.839,6.26,0.2892
 66286 (1999 JF18),15.42,2.149,0.382,0.1937,2.393,1.929,8.83,0.2663
 66287 (1999 JT18),15.21,2.571,0.203,0.1501,2.283,1.94,4.9,0.2857
 66288 (1999 JE20),15.1,2.634,0.193,0.1667,2.318,1.932,3.38,0.2792
 66289 (1999 JW22),15.57,5.763,0.037,0.1273,2.336,2.039,3.97,0.276
 66290 (1999 JX22),15.98,1.675,0.301,0.195,2.367,1.906,0.49,0.2706
 66291 (1999 JM23),15.43,1.892,0.45,0.1087,2.266,2.02,7.0,0.2889
 66292 (1999 JP24),15.18,1.908,0.403,0.0961,2.467,2.23,5.31,0.2543
 66293 (1999 JD25),15.34,2.13,0.269,0.15,2.307,1.961,5.09,0.2813
 66298 (1999 JJ30),15.35,3.576,0.115,0.0945,2.299,2.081,9.34,0.2828
 66301 (1999 JF35),16.26,1.403,0.187,0.1874,2.378,1.932,2.02,0.2688
 66305 (1999 JD38),14.98,4.032,0.157,0.2291,2.37,1.827,8.25,0.2701
 66307 (1999 JV40),14.56,3.595,0.198,0.2022,2.333,1.862,6.43,0.2765
 66308 (1999 JX40),15.36,2.947,0.118,0.0913,2.213,2.011,4.92,0.2994
 66309 (1999 JX41),15.54,3.447,0.094,0.2213,2.352,1.831,4.5,0.2733
